ReactionID,ReactionName,Subsystem,HFD_MeanFlux,HFD_StdFlux,HFD_N,HFD_Flux,SCD_MeanFlux,SCD_StdFlux,SCD_N,SCD_Flux,Diff(HFD-SCD),Ratio(HFD/SCD)
DM_13_cis_oretn_n,13-cis-oxo-retinoic acid demand,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_13_cis_retn_n,13-cis-retinoate demand,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_ak2lgchol_hs_e,1-alkyl 2-lysoglycerol 3-phosphocholine exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_akg_e,2-Oxoglutarate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_ala_B_e,Beta-Alanine exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_Asn_X_Ser_Thr_l,DM Asn  X  Ser FSLASH Thr LPAREN ly RPAREN ,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_4nphsf_e,4-Nitrophenyl sulfate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_Ser_Gly_Ala_X_Gly_l,DM Ser  Gly FSLASH Ala  X  Gly LPAREN ly RPAREN ,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_dctp_n,"Demand for dCTP, Nuclear",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_dem2emgacpail_prot_hs_r,"Demand for  Deacylated-(Phosphoethanolaminyl-Dimannosyl),(Phosphoethanolaminyl)-Mannosyl-Glucosaminyl-Acylphosphatidylinositol,  Endoplasmatic Reticulum",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_ala__D_e,D-Alanine exchange,Extracellular exchange,0.37965616045845274,0.0,1,0.37965616045845274,0.0,0.0,1,0.0,0.37965616045845274,379656160458.45276
EX_ala__L_e,L-Alanine exchange,Extracellular exchange,0.874335650911827,0.0,1,0.874335650911827,1.6496233770860314,0.0,1,1.6496233770860314,-0.7752877261742044,0.5300213752158159
EX_aldstrn_e,Aldosterone exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_amp_e,AMP exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_dgpi_prot_hs_r,"Demand for  Deacylated-Glycophosphatidylinositol (Gpi)-Anchored Protein,  Endoplasmatic Reticulum",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_4pyrdx_e,4-Pyridoxate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_dgtp_m,"Demand for dGTP, Mitochondrial",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_andrstrn_e,Androsterone exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_andrstrnglc_e,Androsterone glucuronide exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_5adtststerone_e,5alpha-Dihydrotestosterone exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_antipyrene_e,Antipyrene exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_dgtp_n,"Demand for dGTP, Nuclear",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_dsT_antigen_g,"Demand for  Disialyl-T Antigen,  Golgi Apparatus",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_5adtststeroneglc_e,5alpha-Dihydrotestosterone glucuronide exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_dttp_m,DTTP demand,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_dttp_n,"Demand for dTTP, Nuclear",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_ethamp_r,Ethanolamine phosphate demand,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_gncore2_g,"Demand for gncore  2, Golgi Apparatus",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_gpi_sig_r,DM gpi sig LPAREN er RPAREN ,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_5adtststerones_e,5alpha-Dihydrotestosterone sulfate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_hretn_n,4 hydroxy retinoic acid demand,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_kdn_c,"Demand for  2-Keto-3-Deoxy-D-Glycero-D-Galactononic Acid,  Cytosolic",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_apnnox_e,Alpha-Pinene-oxide exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_appnn_e,(+)-alpha-Pinene exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_m_em_3gacpail_prot_hs_r,DM m LPAREN em RPAREN 3gacpail prot hs r,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_5dhf_e,Pentaglutamyl folate (DHF) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_melanin_c,"Demand for Melanin, Cytosolic",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_aprgstrn_e,20alpha-Hydroxyprogesterone exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_aqcobal_e,Aquacob(III)alamin exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_5mthf_e,5-Methyltetrahydrofolate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_arab__L_e,L-Arabinose exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_arach_e,Arachidic acid exchange,Extracellular exchange,-0.049594134542606576,0.0,1,-0.049594134542606576,-0.05000484230305492,0.0,1,-0.05000484230305492,0.0004107077604483464,0.9917866402027421
DM_mem2emgacpail_prot_hs_r,"Demand for  ({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol-Protein (M4B),  Endoplasmatic Reticulum",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_n5m2masn_g,"Demand for  ((N-Acetyl-D-Glucosaminyl)5-(Alpha-D-Mannosyl)2-Beta-D-Mannosyl-Diacetylchitobiosyl)-L-Asparagine (Protein),  Golgi Apparatus",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_oretn_n,4-oxo-retonoic acid demand,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_arachd_e,NC20:4 exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_sTn_antigen_g,"Demand for  Sialyl-Tn Antigen,  Golgi Apparatus",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_5thf_e,Pentaglutamyl folate (THF) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_sprm_c,"Demand for  Spermine,  Cytosolic",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_yvite_c,Gamma-Tocopherol demand,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
SK_T_antigen_g,DM T antigen[g],Intracellular source/sink,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_arg__L_e,L-Arginine exchange,Extracellular exchange,-0.016054429608932535,0.0,1,-0.016054429608932535,-0.01788604091316107,0.0,1,-0.01788604091316107,0.001831611304228535,0.8975954872283459
EX_ascb__L_e,L-Ascorbate exchange,Extracellular exchange,-0.1151743089162861,0.0,1,-0.1151743089162861,0.0,0.0,1,0.0,-0.1151743089162861,115174308916.2861
EX_asn__L_e,L-Asparagine exchange,Extracellular exchange,-0.012268650319186905,0.0,1,-0.012268650319186905,-0.013668351159367917,0.0,1,-0.013668351159367917,0.0013997008401810118,0.8975954872128603
EX_asp__D_e,D-Aspartate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_6dhf_e,Haxglutamyl folate (DHF) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_asp__L_e,L-Aspartate exchange,Extracellular exchange,-0.19359909516643115,0.0,1,-0.19359909516643115,0.0,0.0,1,0.0,-0.19359909516643115,193599095166.43115
EX_10fthf_e,10-Formyltetrahydrofolate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_10fthf5glu_e,10-formyltetrahydrofolate-[Glu](5) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_6htststerone_e,6 beta hydroxy testosterone exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_atp_e,EX atp LPAREN e RPAREN ,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_avite1_e,Alpha-Tocopherol exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_avite2_e,Alpha-Tocotrienol exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_10fthf6glu_e,10-formyltetrahydrofolate-[Glu](6) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_10fthf7glu_e,10-formyltetrahydrofolate-[Glu](7) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_11_cis_retfa_e,Fatty acid 11-cis-retinol exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_bhb_e,(R)-3-Hydroxybutanoate transport via H+ symport,Extracellular exchange,0.10000000000000003,0.0,1,0.10000000000000003,0.17124648295865333,0.0,1,0.17124648295865333,-0.0712464829586533,0.5839535987641896
EX_6thf_e,Hexaglutamyl folate  (THF) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_13_cis_retnglc_e,13-cis-retinoyl glucuronide exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_1glyc_hs_e,1 acyl phosphoglycerol exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_1mncam_e,1-Methylnicotinamide exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_7dhf_e,Heptaglutamyl folate (DHF) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_2425dhvitd2_e,"24R,25-Dihyoxyvitamin D2 exchange",Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_2425dhvitd3_e,"24R,25-Dihydroxyvitamin D3 exchange",Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_7thf_e,Heptaglutamyl folate (THF) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_24nph_e,"2,4 dihydroxy nitrophenol exchange",Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_9_cis_retfa_e,Fatty acid 9-cis-retinol exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_25hvitd2_e,25-Hydroxyvitamin D2 exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_25hvitd3_e,25-Hydroxyvitamin D3 exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_bildglcur_e,Bilirubin beta-diglucuronide exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_bilglcur_e,Bilirubin monoglucuronide exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_bilirub_e,Bilirubin exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_clpnd_e,Clupanodonic acid (docosapentaenoic (n-3)) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_biocyt_e,Biocytin exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_cysi__L_e,L Cystine exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_2hb_e,2 Hydroxybutyrate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_2mcit_e,2-Methylcitrate exchange,Extracellular exchange,0.061042397563981526,0.0,1,0.061042397563981526,0.395517350820493,0.0,1,0.395517350820493,-0.33447495325651144,0.15433557450057736
EX_Rtotal_e,R total exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_Rtotal2_e,R total 2 position exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_Rtotal3_e,R total 3 position exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_cspg_e_e,"Chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan exchange",Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_Tyr_ggn_e,Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_btn_e,Biotin exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_abt_e,L Arabinitol exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_but_e,Butyrate (n-C4:0) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_bvite_e,Beta-tocopherol exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_cyan_e,Hydrogen cyanide exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_cys__L_e,L-Cysteine exchange,Extracellular exchange,-0.8,0.0,1,-0.8,-0.95182062071329,0.0,1,-0.95182062071329,0.15182062071328994,0.8404945034702477
EX_ac_e,Acetate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_cytd_e,Cytidine exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_dad_2_e,Deoxyadenosine exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_dad_5_e,5'-Deoxyadenosine exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_dag_hs_e,Diacylglycerol (homo sapiens) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_bz_e,Benzoate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_ca2_e,Calcium exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_camp_e,CAMP exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_caro_e,Beta-Carotene exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_acac_e,Acetoacetate exchange,Extracellular exchange,-0.30037161745002033,0.0,1,-0.30037161745002033,0.03911833499917294,0.0,1,0.03911833499917294,-0.3394899524491933,7.678537888913023
EX_carveol_e,(E)-carveol exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_cca_d3_e,Calcitroic acid (D3) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_dcsptn1_e,"Docosa-4,7,10,13,16-pentaenoic acid (n-6) exchange",Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_gq1b_hs_e,GQ1b (homo sapiens) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_dcyt_e,Deoxycytidine exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_debrisoquine_e,EX debrisoquine e,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_dgchol_e,Chenodeoxyglycocholate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_dgsn_e,Deoxyguanosine exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_dhdascb_e,Dehydroascorbate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_cgly_e,Cys-Gly exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_chol_e,Choline exchange,Extracellular exchange,-0.003279021432063144,0.0,1,-0.003279021432063144,-0.0036531171095846218,0.0,1,-0.0036531171095846218,0.0003740956775214778,0.8975954870328233
EX_cholate_e,Cholate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_chsterol_e,Cholesterol exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_chtn_e,Chitin exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_cit_e,Citrate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_cl_e,Chloride exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_cmp_e,CMP exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_co_e,EX co LPAREN e RPAREN ,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_co2_e,CO2 exchange,Extracellular exchange,1.7878237036716405,0.0,1,1.7878237036716405,4.2562650681793635,0.0,1,4.2562650681793635,-2.468441364507723,0.4200451980863048
EX_coumarin_e,Coumarin exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_creat_e,Creatine exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_crmp_hs_e,Ceramide 1-phosphate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_crn_e,L-Carnitine exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_crtsl_e,Cortisol Exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_crtstrn_e,Corticosterone Exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_crvnc_e,NC22:6 exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_csn_e,Cytosine exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
