ReactionID,ReactionName,Subsystem,HFD_mean,WD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,HFD_n,WD_n,q_value,Significant,Direction
CTPS1,CTP synthase  NH3 ,Nucleotides,0.004185865516891425,0.005317847011299041,-0.0011319814944076162,-0.3453163041192378,-7.342173861435244,9.15378471032317e-09,-1.3610764990138233,38,12,1.5503182650301881e-06,True,Down
O2Stx,Superoxide anion transport via diffusion (peroxisome),"Transport, Peroxisomal",0.008732013204589474,-0.03727248538601009,0.04600449859059957,,7.229564246990961,1.4045990516150004e-08,1.3357958192034949,38,12,2.18064002763232e-06,True,Up
SPODMx,"Superoxide dismutase, peroxisome",ROS Detoxification,0.004366006602294735,-0.018636242693005005,0.02300224929529974,,7.229564246990957,1.4045990516150208e-08,1.335795819203494,38,12,2.18064002763232e-06,True,Up
ARTPLM1,R group to palmitate conversion,R Group Synthesis,1.4699345469606766,1.6927827376732942,-0.22284819071261763,-0.20364490422564963,-4.472352891212761,0.0001827136788999645,-1.330509871077651,38,12,0.006133253761993402,True,Down
ARGtm,Arginine mitochondrial transport via ornithine carrier,"Transport, Mitochondrial",0.002364452606349478,0.0059024364256617,-0.003537983819312222,-1.319804336529352,-7.145959406785991,1.813000395887698e-08,-1.3203482773883075,38,12,2.501940546325023e-06,True,Down
UREAtm,Urea transport via diffusion,Urea cycle/amino group metabolism,-0.002364452606349478,-0.0059024364256617,0.003537983819312222,-1.3198044096766768,7.145959406785991,1.813000395887698e-08,1.3203482773883075,38,12,2.501940546325023e-06,True,Up
ARGNm,Arginase (m),Urea cycle/amino group metabolism,0.002364452606349478,0.0059024364256617,-0.003537983819312222,-1.319804336529352,-7.145959406785991,1.813000395887698e-08,-1.3203482773883075,38,12,2.501940546325023e-06,True,Down
ALAt2r,L alanine reversible transport via proton symport,"Transport, Extracellular",-0.645737626132654,-1.0852523286862017,0.43951470255354774,-0.7490105200998711,5.330145287340332,5.669502514857507e-06,1.30845288135641,38,12,0.0002321380919819678,True,Up
CTPS2,CTP synthase (glutamine),Pyrimidine Biosynthesis,-0.0006240608707715715,-0.0015173294318476,0.0008932685610760285,-1.2817758221989566,6.907279929933297,3.7687260670605343e-08,1.2762478259064347,38,12,5.015097616381268e-06,True,Up
CKc,ATP Creatine kinase (c),Urea cycle/amino group metabolism,-0.8354115938309811,-0.9509004520810472,0.11548885825006616,-0.18680715073173879,6.5533902261073225,6.256121633577812e-08,1.2526851702943331,38,12,7.284471627097165e-06,True,Up
PCREATtmdiffir,Phosphocreatine transport to/from mitochondria via diffusion,Urea cycle/amino group metabolism,0.8354115938309811,0.9509004520810472,-0.11548885825006616,-0.18680715068979095,-6.5533902261073225,6.256121633577812e-08,-1.2526851702943331,38,12,7.284471627097165e-06,True,Down
CREATtmdiffir,Creatine transport to/from mitochondria via diffusion,Urea cycle/amino group metabolism,0.8354115938309811,0.9509004520810472,-0.11548885825006616,-0.18680715068979095,-6.5533902261073225,6.256121633577812e-08,-1.2526851702943331,38,12,7.284471627097165e-06,True,Down
CK,ATP Creatine kinase,Urea cycle/amino group metabolism,0.8354115938309811,0.9509004520810472,-0.11548885825006616,-0.18680715068979095,-6.5533902261073225,6.256121633577812e-08,-1.2526851702943331,38,12,7.284471627097165e-06,True,Down
FACOAL140,Fatty acid  CoA ligase  tetradecanoate ,Fatty acid activation,0.18310535830854882,0.357839375916618,-0.1747340176080692,-0.9666381368681541,-3.1171856968207283,0.007326657074815376,-1.2499165626706905,38,12,0.12999582981315283,False,Down
ARTFR13,R group artificial flux,R Group Synthesis,0.18310535830854882,0.357839375916618,-0.1747340176080692,-0.9666381368681541,-3.1171856968207283,0.007326657074815376,-1.2499165626706905,38,12,0.12999582981315283,False,Down
FE3R2e,Fe(III) reduction (ascorbate),Heme Biosynthesis,0.0022742103160720657,0.02310394600053098,-0.020829735684458915,-3.34470163411278,-2.41794447812932,0.032434439070062306,-1.2258401098807767,38,12,0.4270343462015989,False,Down
EX_fe2_e,Fe2+ exchange,Extracellular exchange,0.0045484206321441565,0.046207892001061984,-0.04165947136891783,-3.3447016627091823,-2.417944478129318,0.032434439070062396,-1.2258401098807756,38,12,0.4270343462015989,False,Down
EX_fe3_e,Fe3+ exchange,Extracellular exchange,-0.0045484206321441565,-0.046207892001061984,0.04165947136891783,-3.344701719902002,2.417944478129318,0.032434439070062396,1.2258401098807756,38,12,0.4270343462015989,False,Up
GLUt6,"Glutamate transport via Na, H symport and K antiport","Transport, Extracellular",0.040746939632593016,0.2966116939923288,-0.25586475435973577,-2.8638118619939403,-2.5455965205251636,0.02505553622942688,-1.2176849673742103,38,12,0.3563241526368113,False,Down
EX_glu__L_e,L-Glutamate exchange,Extracellular exchange,-0.040746939632593016,-0.2966116939923288,0.25586475435973577,-2.8638118681024007,2.5455965205251636,0.02505553622942688,1.2176849673742103,38,12,0.3563241526368113,False,Up
RTOT2,R total flux,R Group Synthesis,0.1500754011881166,0.30701763416902617,-0.15694223298090956,-1.0326339969002918,-2.7021253319709717,0.01741607382613021,-1.1427249126350847,38,12,0.2637898011226063,False,Down
ASPTA,Aspartate transaminase,Alanine and Aspartate Metabolism,-0.08732703094649903,-0.2875213692809781,0.20019433833447908,-1.7191689901840104,2.313272494368113,0.03873185100689956,1.125886770644422,38,12,0.47231847458769216,False,Up
CYSALANaEx,L-alanine/L-cysteine Na-dependent exchange (Cys-L in),"Transport, Extracellular",0.06330452048608837,0.11710519709568055,-0.05380067660959219,-0.8874246733597768,-2.335787659414036,0.03696373429955487,-1.1186416838086977,38,12,0.45756436544897494,False,Down
THRSERNaEx,L-serine/L-threonine Na-dependent exchange (Thr-L in),"Transport, Extracellular",-0.027434542886151488,-0.05583191273358348,0.028397369847431995,-1.0250964467712367,6.002441447155303,6.231058079890975e-07,1.1090621669848275,38,12,6.633406401621078e-05,True,Up
CO2tm,CO2 transport  diffusion   mitochondrial,"Transport, Mitochondrial",-2.1294072126387977,-2.517908098990745,0.38850088635194746,-0.24177376029283199,4.859941012542674,1.5125636734977363e-05,1.0877768533326135,38,12,0.0005750828823931188,True,Up
ARTFR204,R group artificial flux,R Group Synthesis,0.12617723559367897,0.2610529207773102,-0.13487568518363122,-1.0488906513385903,-2.5410328063367893,0.023910239204387788,-1.0845808524407767,38,12,0.3426521202905727,False,Down
HDCEAt,Hexadecenoate  n C161  transport in via uniport,"Transport, Extracellular",-0.4901387846383693,-0.79085705411069,0.30071826947232067,-0.690226642428788,2.7645750040599553,0.014570004164719833,1.081749710806899,38,12,0.23199929708438502,False,Up
FACOAL161,Fatty acid  CoA ligase  hexadecenoate ,Fatty acid activation,-0.4901387846383693,-0.79085705411069,0.30071826947232067,-0.690226642428788,2.7645750040599553,0.014570004164719833,1.081749710806899,38,12,0.23199929708438502,False,Up
EX_hdcea_e,Hexadecenoate (n-C16:1) exchange,Extracellular exchange,0.4901387846383693,0.79085705411069,-0.30071826947232067,-0.6902266422049431,-2.7645750040599553,0.014570004164719833,-1.081749710806899,38,12,0.23199929708438502,False,Down
MTHFDm,Methylenetetrahydrofolate dehydrogenase  NADP   mitochondrial,Folate Metabolism,0.37435417546002087,0.6552663647313465,-0.2809121892713256,-0.8076776329194922,-2.6405740604101546,0.01906148881005143,-1.065929129849777,38,12,0.28409242922500655,False,Down
MTHFD2m,"Methylenetetrahydrofolate dehydrogenase (NAD), mitochondrial",Folate Metabolism,-0.37435417546002087,-0.6552663647313465,0.2809121892713256,-0.8076776332499186,2.6405740604101546,0.01906148881005143,1.065929129849777,38,12,0.28409242922500655,False,Up
ASPTAm,Aspartate transaminase,Alanine and Aspartate Metabolism,0.07770573964947966,0.26737467473116855,-0.1896689350816889,-1.7827697502222988,-2.2065277006466375,0.04687287068811932,-1.0618198670897367,38,12,0.5452701937421619,False,Down
ASPGLUm,Aspartate-glutamate mitochondrial shuttle,"Transport, Mitochondrial",-0.07813537908086954,-0.26769160293184097,0.18955622385097143,-1.7765240435970995,2.2053948566197126,0.046975773534952754,1.0617715780618053,38,12,0.5452701937421619,False,Up
DHCRD2,Dihydroceramide desaturase,Sphingolipid Metabolism,0.0004534309482443172,0.00067333761158745,-0.00021990666334313283,-0.5704470864492008,-3.7456040569503286,0.000862832246215245,-1.0238162429083624,38,12,0.02312887013955398,True,Down
SMS,Sphingomyelin synthase (homo sapiens),Sphingolipid Metabolism,0.0005171404204891841,0.0005517992855827,-3.465886509351594e-05,-0.09358749881763065,-5.276512476754054,4.09934589366915e-06,-1.014359323473147,38,12,0.00016971292000614763,True,Down
SERPT,Serine C palmitoyltransferase,Sphingolipid Metabolism,0.0005171404204891841,0.0005517992855827,-3.465886509351594e-05,-0.09358749881763065,-5.276512476754054,4.09934589366915e-06,-1.014359323473147,38,12,0.00016971292000614763,True,Down
3DSPHR,3 Dehydrosphinganine reductase,Sphingolipid Metabolism,0.0005171404204891841,0.0005517992855827,-3.465886509351594e-05,-0.09358749881763065,-5.276512476754054,4.09934589366915e-06,-1.014359323473147,38,12,0.00016971292000614763,True,Down
DSAT,Dihydrosphingosine N-acyltransferase,Sphingolipid Metabolism,0.0005171404204891841,0.0005517992855827,-3.465886509351594e-05,-0.09358749881763065,-5.276512476754054,4.09934589366915e-06,-1.014359323473147,38,12,0.00016971292000614763,True,Down
PGPP_hs,Phosphatidylglycerol phosphate phosphatase (homo sapiens),Glycerophospholipid Metabolism,0.00025857021024456315,0.000275899642791325,-1.7329432546761873e-05,-0.09358748129504237,-5.276512476753319,4.099345893674985e-06,-1.0143593234731432,38,12,0.00016971292000614763,True,Down
PGPPT,Phosphatidyl-CMP: glycerophosphate phosphatidyltransferase,Glycerophospholipid Metabolism,0.00025857021024456315,0.000275899642791325,-1.7329432546761873e-05,-0.09358748129504237,-5.276512476753319,4.099345893674985e-06,-1.0143593234731432,38,12,0.00016971292000614763,True,Down
MI1PS,Myo Inositol 1 phosphate synthase,Inositol Phosphate Metabolism,0.0006464255256115,0.0006897491069784,-4.332358136689999e-05,-0.09358750232216294,-5.2765124767539735,4.099345893670287e-06,-1.0143593234731298,38,12,0.00016971292000614763,True,Down
MI1PP,Myo-inositol 1-phosphatase,Inositol Phosphate Metabolism,0.0006464255256115,0.0006897491069784,-4.332358136689999e-05,-0.09358750232216294,-5.2765124767539735,4.099345893670287e-06,-1.0143593234731298,38,12,0.00016971292000614763,True,Down
CDIPTr,Phosphatidylinositol synthase (Homo sapiens),Glycerophospholipid Metabolism,0.0006464255256115,0.0006897491069784,-4.332358136689999e-05,-0.09358750232216294,-5.2765124767539735,4.099345893670287e-06,-1.0143593234731298,38,12,0.00016971292000614763,True,Down
EX_met__L_e,L-Methionine exchange,Extracellular exchange,-0.008920672253439949,-0.009518537676302974,0.0005978654228630254,-0.09358751735602623,5.276512476754217,4.099345893668616e-06,1.0143593234731227,38,12,0.00016971292000614763,True,Up
BIOMASS_mm_1_no_glygln,Biomass mm 1 no glygln,Biomass and maintenance functions,0.06464255256115957,0.06897491069784813,-0.004332358136688558,-0.09358751620003929,-5.276512476754239,4.099345893668614e-06,-1.0143593234731167,38,12,0.00016971292000614763,True,Down
PPAP,Phosphatidic acid phosphatase,Triacylglycerol Synthesis,0.006334970150993555,0.006759541248389033,-0.0004245710973954783,-0.09358751490980274,-5.276512476754276,4.099345893668379e-06,-1.0143593234731143,38,12,0.00016971292000614763,True,Down
AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1,Triacylglycerol Synthesis,0.007433893544533285,0.007932114730252482,-0.000498221185719197,-0.09358751512125796,-5.276512476754255,4.099345893668699e-06,-1.0143593234731096,38,12,0.00016971292000614763,True,Down
GPAM_hs,Glycerol-3-phosphate acyltransferase,Triacylglycerol Synthesis,0.007433893544533285,0.007932114730252482,-0.000498221185719197,-0.09358751512125796,-5.276512476754255,4.099345893668699e-06,-1.0143593234731096,38,12,0.00016971292000614763,True,Down
ADPtx,"ADP transporter, peroxisomal","Transport, Peroxisomal",-0.02094418702981564,-0.022347871066102715,0.0014036840362870763,-0.09358751677287704,5.276512476754182,4.09934589366928e-06,1.0143593234731092,38,12,0.00016971292000614763,True,Up
ATPtx,"ATP transporter, peroxisomal","Transport, Peroxisomal",0.02094418702981564,0.022347871066102715,-0.0014036840362870763,-0.09358751590756197,-5.276512476754182,4.09934589366928e-06,-1.0143593234731092,38,12,0.00016971292000614763,True,Down
EX_ile__L_e,L-Isoleucine exchange,Extracellular exchange,-0.02094418702981565,-0.022347871066102715,0.001403684036287066,-0.09358751677287636,5.276512476754212,4.0993458936691274e-06,1.014359323473107,38,12,0.00016971292000614763,True,Up
ILEtec,L-isoleucine transport via diffusion (extracellular to cytosol),"Transport, Extracellular",0.02094418702981565,0.022347871066102715,-0.001403684036287066,-0.09358751590756129,-5.276512476754212,4.0993458936691274e-06,-1.014359323473107,38,12,0.00016971292000614763,True,Down
NADPtxu,"NADP transport, glyoxysome","Transport, Peroxisomal",0.01396279135321038,0.014898580710735092,-0.0009357893575247123,-0.09358751569123303,-5.2765124767541405,4.099345893669921e-06,-1.0143593234730988,38,12,0.00016971292000614763,True,Down
NADPHtxu,"NADPH transport, glyoxysome","Transport, Peroxisomal",0.013962791353210385,0.014898580710735092,-0.0009357893575247071,-0.09358751569123251,-5.276512476754091,4.099345893670623e-06,-1.0143593234730888,38,12,0.00016971292000614763,True,Down
URIK1,Uridine kinase  ATPUridine ,Pyrimidine Biosynthesis,0.005695008880638052,0.0060766896324803005,-0.00038168075184224874,-0.09358751474906082,-5.276512476754017,4.099345893671678e-06,-1.0143593234730723,38,12,0.00016971292000614763,True,Down
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),Pyrimidine Catabolism,-0.005695008880638052,-0.0060766896324803005,0.00038168075184224874,-0.09358751793137698,5.276512476754017,4.099345893671678e-06,1.0143593234730723,38,12,0.00016971292000614763,True,Up
EX_asn__L_e,L-Asparagine exchange,Extracellular exchange,-0.01862351939287001,-0.01987167177204992,0.001248152379179912,-0.09358751682678679,5.276512476753952,4.099345893672542e-06,1.01435932347306,38,12,0.00016971292000614763,True,Up
PPItx,"Diphosphate transporter, peroxisome","Transport, Peroxisomal",-0.004654263784403402,-0.004966193570244967,0.0003119297858415653,-0.09358751828717755,5.276512476754062,4.099345893671719e-06,1.0143593234730592,38,12,0.00016971292000614763,True,Up
GRTTx,Geranyltranstransferase,Cholesterol Metabolism,0.002327131892201679,0.00248309678512245,-0.00015596489292077093,-0.09358751244629554,-5.276512476754036,4.099345893672124e-06,-1.0143593234730524,38,12,0.00016971292000614763,True,Down
FRDPtr,"Lipid, flip-flop intracellular transport","Transport, Peroxisomal",0.002327131892201679,0.00248309678512245,-0.00015596489292077093,-0.09358751244629554,-5.276512476754036,4.099345893672124e-06,-1.0143593234730524,38,12,0.00016971292000614763,True,Down
CO2ter,CO2 endoplasmic reticular transport via diffusion,"Transport, Endoplasmic Reticular",-0.002327131892201679,-0.00248309678512245,0.00015596489292077093,-0.09358752023413049,5.276512476754036,4.099345893672124e-06,1.0143593234730524,38,12,0.00016971292000614763,True,Up
IPDDIx,Isopentenyl-diphosphate D-isomerase,Cholesterol Metabolism,0.002327131892201679,0.00248309678512245,-0.00015596489292077093,-0.09358751244629554,-5.276512476754036,4.099345893672124e-06,-1.0143593234730524,38,12,0.00016971292000614763,True,Down
DMATTx,Dimethylallyltranstransferase,Cholesterol Metabolism,0.002327131892201679,0.00248309678512245,-0.00015596489292077093,-0.09358751244629554,-5.276512476754036,4.099345893672124e-06,-1.0143593234730524,38,12,0.00016971292000614763,True,Down
PPItr,"Diphosphate transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",-0.002327131892201679,-0.00248309678512245,0.00015596489292077093,-0.09358752023413049,5.276512476754036,4.099345893672124e-06,1.0143593234730524,38,12,0.00016971292000614763,True,Up
HMGCOARx,Hydroxymethylglutaryl CoA reductase (ir),Cholesterol Metabolism,0.0069813956766051274,0.007449290355367466,-0.0004678946787623388,-0.09358751504224433,-5.276512476753889,4.099345893673395e-06,-1.0143593234730475,38,12,0.00016971292000614763,True,Down
CO2tp,CO2 peroxisomal transport,"Transport, Peroxisomal",-0.006981395676605143,-0.007449290355367466,0.0004678946787623232,-0.09358751763818596,5.276512476753758,4.099345893675156e-06,1.0143593234730228,38,12,0.00016971292000614763,True,Up
PMEVKx,Phosphomevalonate kinase,Cholesterol Metabolism,0.006981395676605143,0.007449290355367466,-0.0004678946787623232,-0.09358751504224108,-5.276512476753758,4.099345893675156e-06,-1.0143593234730228,38,12,0.00016971292000614763,True,Down
MEVK1x,Mevalonate kinase (atp),Cholesterol Metabolism,0.006981395676605143,0.007449290355367466,-0.0004678946787623232,-0.09358751504224108,-5.276512476753758,4.099345893675156e-06,-1.0143593234730228,38,12,0.00016971292000614763,True,Down
DPMVDx,Diphosphomevalonate decarboxylase,Cholesterol Metabolism,0.006981395676605143,0.007449290355367466,-0.0004678946787623232,-0.09358751504224108,-5.276512476753758,4.099345893675156e-06,-1.0143593234730228,38,12,0.00016971292000614763,True,Down
PItx,"Phosphate transporter, peroxisome","Transport, Peroxisomal",-0.006981395676605143,-0.007449290355367466,0.0004678946787623232,-0.09358751763818596,5.276512476753758,4.099345893675156e-06,1.0143593234730228,38,12,0.00016971292000614763,True,Up
EX_chol_e,Choline exchange,Extracellular exchange,-0.004977476547209187,-0.005311068123734174,0.00033359157652498774,-0.09358751816074656,5.276512476753529,4.099345893677924e-06,1.0143593234729904,38,12,0.00016971292000614763,True,Up
C4STMO1r,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",Cholesterol Metabolism,0.0011635659461007844,0.0012415483925611668,-7.798244646038243e-05,-0.0935875085523793,-5.27651247675331,4.099345893681085e-06,-1.014359323472942,38,12,0.00016971292000614763,True,Down
C3STKR2r,C-3 sterol keto reductase (zymosterol),Cholesterol Metabolism,0.0011635659461007844,0.0012415483925611668,-7.798244646038243e-05,-0.0935875085523793,-5.27651247675331,4.099345893681085e-06,-1.014359323472942,38,12,0.00016971292000614763,True,Down
SQLEr,Squalene epoxidase  endoplasmic reticular  NADP ,Cholesterol Metabolism,0.0011635659461007844,0.0012415483925611668,-7.798244646038243e-05,-0.0935875085523793,-5.27651247675331,4.099345893681085e-06,-1.014359323472942,38,12,0.00016971292000614763,True,Down
CHSTEROLt3,Cholesterol intracellular transport,"Transport, Mitochondrial",-0.0011635659461007844,-0.0012415483925611668,7.798244646038243e-05,-0.09358752412804933,5.27651247675331,4.099345893681085e-06,1.014359323472942,38,12,0.00016971292000614763,True,Up
SQLSr,Squalene synthase,Cholesterol Metabolism,0.0011635659461007844,0.0012415483925611668,-7.798244646038243e-05,-0.0935875085523793,-5.27651247675331,4.099345893681085e-06,-1.014359323472942,38,12,0.00016971292000614763,True,Down
FORtr,"FOR transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",-0.0011635659461007844,-0.0012415483925611668,7.798244646038243e-05,-0.09358752412804933,5.27651247675331,4.099345893681085e-06,1.014359323472942,38,12,0.00016971292000614763,True,Up
CHSTEROLt2,Cholesterol intracellular transport,"Transport, Mitochondrial",0.0011635659461007844,0.0012415483925611668,-7.798244646038243e-05,-0.0935875085523793,-5.27651247675331,4.099345893681085e-06,-1.014359323472942,38,12,0.00016971292000614763,True,Down
LNSTLSr,Lanosterol synthase,Cholesterol Metabolism,0.0011635659461007844,0.0012415483925611668,-7.798244646038243e-05,-0.0935875085523793,-5.27651247675331,4.099345893681085e-06,-1.014359323472942,38,12,0.00016971292000614763,True,Down
C14STRr,C-14 sterol reductase,Cholesterol Metabolism,0.0011635659461007844,0.0012415483925611668,-7.798244646038243e-05,-0.0935875085523793,-5.27651247675331,4.099345893681085e-06,-1.014359323472942,38,12,0.00016971292000614763,True,Down
FADtru,"FAD transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",0.0011635659461007844,0.0012415483925611668,-7.798244646038243e-05,-0.0935875085523793,-5.27651247675331,4.099345893681085e-06,-1.014359323472942,38,12,0.00016971292000614763,True,Down
FADH2tru,"FADH2 transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",0.0011635659461007844,0.0012415483925611668,-7.798244646038243e-05,-0.0935875085523793,-5.27651247675331,4.099345893681085e-06,-1.014359323472942,38,12,0.00016971292000614763,True,Down
LNS14DMr,Cytochrome P450 lanosterol 14-alpha-demethylase,Cholesterol Metabolism,0.0011635659461007844,0.0012415483925611668,-7.798244646038243e-05,-0.0935875085523793,-5.27651247675331,4.099345893681085e-06,-1.014359323472942,38,12,0.00016971292000614763,True,Down
PSFLIPm,Phosphatidylserine flippase,"Transport, Mitochondrial",0.0016807063665900419,0.0017933476781439083,-0.00011264131155386639,-0.09358751094861924,-5.27651247675303,4.099345893686793e-06,-1.014359323472824,38,12,0.00016971292000614763,True,Down
PSDm_hs,Phosphatidylserine decarboxylase,Glycerophospholipid Metabolism,0.0016807063665900419,0.0017933476781439083,-0.00011264131155386639,-0.09358751094861924,-5.27651247675303,4.099345893686793e-06,-1.014359323472824,38,12,0.00016971292000614763,True,Down
PE_HStm,Phosphatidylethanolamine scramblase,"Transport, Mitochondrial",-0.0016807063665900419,-0.0017933476781439083,0.00011264131155386639,-0.09358752173177536,5.27651247675303,4.099345893686793e-06,1.014359323472824,38,12,0.00016971292000614763,True,Up
