SampleID,Group,Dataset
HFD_GSE246221_Batch9_HFD_only32w_1_Flux,HFD,GSE246221
HFD_GSE246221_Batch9_HFD_only32w_2_Flux,HFD,GSE246221
HFD_GSE246221_Batch9_HFD_only32w_3_Flux,HFD,GSE246221
HFD_GSE248297_HFD_1_Flux,HFD,GSE248297
HFD_GSE248297_HFD_2_Flux,HFD,GSE248297
HFD_GSE248297_HFD_3_Flux,HFD,GSE248297
HFD_GSE248297_HFD_4_Flux,HFD,GSE248297
HFD_GSE248297_HFD_5_Flux,HFD,GSE248297
KD_GSE101657_KD_0_Flux,KD,GSE101657
KD_GSE101657_KD_1_Flux,KD,GSE101657
KD_GSE101657_KD_2_Flux,KD,GSE101657
KD_GSE101657_KD_3_Flux,KD,GSE101657
KD_GSE101657_KD_4_Flux,KD,GSE101657
KD_GSE101657_KD_5_Flux,KD,GSE101657
KD_GSE101657_KD_6_Flux,KD,GSE101657
KD_GSE248297_KD_1_Flux,KD,GSE248297
KD_GSE248297_KD_2_Flux,KD,GSE248297
KD_GSE248297_KD_3_Flux,KD,GSE248297
KD_GSE248297_KD_4_Flux,KD,GSE248297
KD_GSE248297_KD_5_Flux,KD,GSE248297
WD_GSE159090_GSM4819145_WD_Male_Flux,WD,GSE159090
WD_GSE159090_GSM4819155_WD_Male_Flux,WD,GSE159090
WD_GSE159090_GSM4819156_WD_Male_Flux,WD,GSE159090
WD_GSE159090_GSM4819158_WD_Male_Flux,WD,GSE159090
WD_GSE159090_GSM4819164_WD_Male_Flux,WD,GSE159090
WD_GSE159090_GSM4819173_WD_Male_Flux,WD,GSE159090
WD_GSE159090_GSM4819174_WD_Male_Flux,WD,GSE159090
WD_GSE159090_GSM4819181_WD_Male_Flux,WD,GSE159090
WD_GSE159090_GSM4819183_WD_Male_Flux,WD,GSE159090
WD_GSE159090_GSM4819192_WD_Male_Flux,WD,GSE159090
WD_GSE159090_GSM4819196_WD_Male_Flux,WD,GSE159090
WD_GSE159090_GSM4819201_WD_Male_Flux,WD,GSE159090
